,east_comp,north_comp,verti_comp,Time
181,-0.010396959,0.002813975,0.007104724,3.62
182,-0.012941191,-0.00085897,0.008581407,3.64
183,-0.012933335,0.001627024,0.006349649,3.66
184,-0.008861393,0.003993209,-0.001286236,3.68
185,-0.000578611,-0.005165927,-0.002042735,3.7
186,0.007660304,0.000258199,-0.003029769,3.72
187,0.008442401,0.004291545,-0.003606221,3.74
188,-9.07e-05,0.005581884,-0.003612507,3.76
189,0.008169627,0.00372515,-0.003148553,3.78
190,0.020147273,-0.00315099,0.006770833,3.8
191,0.005561581,-0.002561281,0.00165645,3.82
192,-0.001529582,-0.001723259,-0.003204777,3.84
193,-0.001710642,-0.006064788,-0.00465269,3.86
194,-0.004220022,-0.005297819,-0.011326182,3.88
195,-0.017994622,0.004882223,-0.016696612,3.9
196,-0.024774191,0.001710325,0.00133792,3.92
197,-0.008231527,-0.001622849,0.020163032,3.94
198,0.000478113,0.001994809,0.007744412,3.96
199,0.012284622,-0.000576558,-0.004672441,3.98
200,0.015427809,0.004040153,-0.012670201,4
201,0.009227224,0.004852907,-0.014663962,4.02
202,0.003450271,0.000485614,-0.003384561,4.04
203,0.003031163,0.009892122,0.003691406,4.06
204,0.003400583,0.005432292,-0.003644746,4.08
205,0.00149143,-0.010158269,-0.002470227,4.1
206,-0.005122884,-0.013001266,-0.003563408,4.12
207,-0.005071843,-0.009723227,0.004980891,4.14
208,-0.000205735,-0.006301201,0.006801813,4.16
209,-0.004686553,-0.001498782,0.003054343,4.18
210,-0.008602429,-0.004433995,0.003284527,4.2
211,-0.005067331,0.00393469,-0.009168815,4.22
212,-0.000789361,0.017963881,0.007293539,4.24
213,-0.000131376,0.010141958,0.017459928,4.26
214,-0.000731976,-0.003973909,0.006745298,4.28
215,-0.002209156,0.003729246,-0.002543557,4.3
216,-0.002421603,0.000622005,-0.011154637,4.32
217,0.00570506,-0.003198145,-0.006506806,4.34
218,0.01743818,0.007462704,-0.012779543,4.36
219,0.018872019,0.00261741,-0.014256355,4.38
220,0.00832917,-0.004275376,-0.006546201,4.4
221,0.001178918,-0.007039659,0.003357407,4.42
222,-0.008909398,-0.004274272,-0.003239011,4.44
223,-0.01742435,-0.000327736,0.009231898,4.46
224,-0.016200487,-0.002333603,0.011058169,4.48
225,-0.020941268,0.00100822,0.008395074,4.5
226,-0.023170903,0.002706847,0.003717558,4.52
227,-0.005998135,-0.002582661,-0.010262118,4.54
228,0.006341303,0.000533272,-0.01137698,4.56
229,0.007067854,-0.004102608,-0.004511131,4.58
230,0.006603943,0.002367316,-0.002026333,4.6
231,0.005695487,0.011624071,-0.010084232,4.62
232,0.00259026,0.00904294,-0.003958375,4.64
233,0.008487494,-0.000192517,-0.003562918,4.66
234,0.007380109,-0.004348904,-0.00140643,4.68
235,0.003747385,-0.007498601,0.005782541,4.7
236,-0.001671474,-0.014808263,0.006614899,4.72
237,-0.010227187,-0.009735267,0.004707782,4.74
238,-0.001332947,-0.000596788,0.004304634,4.76
239,-0.006521513,0.001192715,-0.001083044,4.78
240,-0.005907815,0.00207199,0.001051853,4.8
241,-0.00055965,0.011012781,-0.003363299,4.82
242,-0.002683698,0.012395215,-0.012884508,4.84
243,-0.002037207,0.003317343,-0.008857898,4.86
244,-0.003981315,0.006704093,-0.003203218,4.88
245,-0.004482711,0.009948045,0.002607832,4.9
246,0.00386869,-0.002013274,0.009912865,4.92
247,0.003987624,-0.000869895,0.009598444,4.94
248,-0.002290928,0.011979468,-0.000392305,4.96
249,-0.002235156,-0.001541709,-0.007407337,4.98
250,-0.000437733,-0.015273008,-0.008079318,5
251,0.00258869,-0.012992691,-0.005806568,5.02
252,-0.009200673,-0.013340993,0.005037333,5.04
253,-0.015746936,-0.013615573,0.01754316,5.06
254,-0.008751506,-0.008300007,0.008875859,5.08
255,-0.006351234,0.005747062,-0.00769222,5.1
256,0.000413522,0.020311927,-0.016032966,5.12
257,0.013958719,0.016294445,-0.011733103,5.14
258,0.014386766,0.003634577,-0.002632239,5.16
259,0.009883065,0.003341442,-0.006638317,5.18
260,0.013336427,0.005849981,-0.005011401,5.2
261,0.002034043,0.001278729,0.003494779,5.22
262,-0.003801473,0.005849116,0.002324201,5.24
263,-0.00364407,0.015005927,0.002670803,5.26
264,-0.006589981,0.010576956,0.000478901,5.28
265,9.44e-05,-0.00158442,0.011271618,5.3
266,-0.001112634,-0.004425666,0.017733481,5.32
267,-0.009330319,-0.001908805,0.00999879,5.34
268,-0.011129177,-0.00161271,-0.006607514,5.36
269,-0.000141565,-0.001642426,-0.008230857,5.38
270,0.012147307,-0.010478997,-0.008735504,5.4
271,0.01633831,-0.003985186,-0.010638998,5.42
272,0.014326689,0.001382903,-0.00118209,5.44
273,0.006229649,0.003042399,0.007537086,5.46
274,-0.002181276,0.00966296,0.009161656,5.48
275,-0.006427206,0.002699785,0.00704174,5.5
276,-0.006984192,-0.003231876,0.002495381,5.52
277,-0.007944937,0.002035952,-0.005513973,5.54
278,-0.003858852,-0.006312753,-0.002027117,5.56
279,-0.006280955,-0.010416265,0.001765762,5.58
280,-0.006858048,-0.014110844,0.005454757,5.6
281,-0.012005467,-0.013449854,0.000781203,5.62
282,-0.017415875,-0.002658744,0.002110685,5.64
283,-0.008890886,0.005560566,-0.001578205,5.66
284,0.004160149,0.014662501,-0.003524738,5.68
285,0.017998819,0.013767023,-0.004936798,5.7
286,0.015635734,0.005688894,0.00154845,5.72
287,0.004811079,0.001436964,0.006477791,5.74
288,0.008511137,0.001541589,0.006588144,5.76
289,0.003472957,-0.003413798,0.001362195,5.78
290,-0.003400912,-0.0093534,-0.003363308,5.8
291,-0.000257664,-0.011972063,-0.005046683,5.82
292,0.006256041,-0.002244771,-0.003232649,5.84
293,-0.000485624,0.006223863,-0.00102033,5.86
294,-0.006515388,0.005056605,0.004181503,5.88
295,-0.007347874,0.016603522,0.002789382,5.9
296,-0.001662418,0.012888686,0.010752936,5.92
297,0.008919491,0.00282187,0.006986225,5.94
298,0.006586125,0.005974459,-0.002933714,5.96
299,0.00346423,-0.001353753,-0.004836157,5.98
300,-0.003389953,-0.005261914,-0.008746655,6
301,-0.004426386,-0.015254096,-0.011118169,6.02
302,-0.00104066,-0.020591439,-0.007042025,6.04
303,0.002997768,-0.019899114,0.003797596,6.06
304,0.009384997,-0.01911737,0.009775924,6.08
305,0.003468738,-0.011790632,0.001126499,6.1
306,-0.011295664,0.000330176,0.002998054,6.12
307,-0.010306969,0.007391344,0.001174425,6.14
308,-0.004811314,0.0057608,0.009073902,6.16
309,-0.008537438,0.010124697,0.011413869,6.18
310,-0.005735583,0.006432556,0.006665524,6.2
311,0.006997555,-0.004044467,0.000901533,6.22
312,0.013906435,-0.00329753,-0.00692839,6.24
313,0.018849847,-0.00390627,-0.008869535,6.26
314,0.009820083,-0.006457376,-0.007710354,6.28
315,0.000751595,-0.009101899,0.009355794,6.3
316,0.000794634,-0.007487903,0.012123007,6.32
317,0.004965233,-0.004783568,0.009668501,6.34
318,0.004233757,-0.000448841,0.004866516,6.36
319,0.003356544,0.005942503,0.000658584,6.38
320,-0.005788313,0.010122447,-0.009315364,6.4
321,-0.017550848,0.007432413,-0.002789253,6.42
322,-0.014645352,0.004739431,-0.004373784,6.44
323,-0.001210223,-0.002093324,0.001303689,6.46
324,0.00765446,-0.006583071,0.003947302,6.48
325,0.004159347,0.00335323,0.008037916,6.5
326,-0.010494288,0.008233147,0.004508154,6.52
327,-0.007979757,0.007379894,0.0025663,6.54
328,0.007373603,0.000916022,0.000553728,6.56
329,0.008215936,0.002196803,-0.00409349,6.58
330,0.007098523,-0.000255492,-0.005758246,6.6
331,0.009642266,-0.001405467,-0.008116936,6.62
332,0.007855383,0.004994323,-0.008790451,6.64
333,-0.001038932,0.005288165,-0.000888865,6.66
334,-2.36e-05,-0.000571746,0.004938441,6.68
335,0.00214939,-0.00694785,0.003076483,6.7
336,0.004792711,-0.003860877,0.009693287,6.72
337,0.001000637,-0.008186793,0.010628049,6.74
338,-0.00595844,-0.008730097,-0.003774943,6.76
339,-0.001735796,0.002019191,0.000542401,6.78
340,-0.002252557,0.010052164,0.000866667,6.8
341,-0.006254545,0.016001953,-0.003883438,6.82
342,-0.009152329,0.010460029,-0.001533736,6.84
343,-0.005134834,-0.004891058,0.001967078,6.86
344,0.004647977,-0.003737953,-0.006405956,6.88
345,0.003949688,0.006770919,-0.006999704,6.9
346,-0.001043265,0.003048922,-0.002319971,6.92
347,0.002616423,-0.000622367,-0.00045365,6.94
348,0.01351071,-0.003547199,0.008095862,6.96
349,0.012623538,-0.005716316,0.005543718,6.98
350,0.011418403,0.004023009,0.010744267,7
351,0.009272151,0.01338851,0.000946453,7.02
352,-0.005554696,0.007634597,-0.006643778,7.04
353,-0.009487852,0.002888628,-0.005474878,7.06
354,-0.006193003,-0.007635479,0.000593107,7.08
355,-0.014283995,-0.007497594,-0.0076068,7.1
356,-0.021559662,0.004491389,-0.015880223,7.12
357,-0.016481018,0.002572694,-0.002134197,7.14
358,-0.007452929,0.008158227,0.009004772,7.16
359,0.003626982,0.003148492,-0.003188834,7.18
360,0.016580968,-0.007589213,-0.007331334,7.2
361,0.010590538,-0.002856534,-0.003377506,7.22
362,0.004900427,-0.000524308,0.003649135,7.24
363,0.014453187,-0.00164503,0.009249519,7.26
364,0.014486989,-0.001281846,0.007945488,7.28
365,0.007684239,-0.004151434,0.000201084,7.3
366,0.003994051,-0.003637966,0.001542478,7.32
367,0.000203369,0.002433358,-0.002732303,7.34
368,-0.007527041,0.006262377,-0.002497181,7.36
369,-0.009066485,-0.007778343,0.00560802,7.38
370,-0.007914893,-0.009140062,-0.002919453,7.4
371,-0.009484986,-0.001178175,-0.009388883,7.42
372,-0.004157121,-0.007891517,-0.00701852,7.44
373,0.008167117,-0.003143494,-0.00293557,7.46
374,0.01463904,-0.003908134,-0.002558467,7.48
375,0.006365776,-0.004927021,0.004064123,7.5
376,0.009945934,-0.003861844,0.00299351,7.52
377,0.0121241,-0.000797605,0.005811395,7.54
378,0.007889374,0.000780782,0.004018033,7.56
379,0.000392836,0.00440017,0.00100476,7.58
380,-0.005433724,0.006989395,-0.00154196,7.6
381,-0.008440311,0.007190832,-0.00215112,7.62
382,-0.009142367,0.002781098,-0.002479536,7.64
383,-0.008871358,-0.00010221,-0.009216689,7.66
384,-0.006045986,-0.00134442,-0.006274292,7.68
385,-0.002440438,-0.001461873,-0.004202885,7.7
386,-0.002747695,-0.002141458,-0.00460556,7.72
387,-0.003603342,-0.008200217,-0.001469225,7.74
388,-0.000738783,-0.008765354,0.001457596,7.76
389,0.011524366,0.002464879,0.006511736,7.78
390,0.013775919,0.009347129,0.005373577,7.8
391,0.0069231,0.008443749,0.003353304,7.82
392,0.006409089,0.008489871,-0.000406317,7.84
393,-6.53e-05,0.002650492,-0.006283902,7.86
394,-0.00712191,-0.003383978,-0.004844954,7.88
395,-0.002284744,-0.008342842,0.002352047,7.9
396,-0.006344048,-0.003094229,0.003960575,7.92
