,Parameters,Minimum,Maximum,Mean,Median,STD,Sample_Skewness,Kurtosis
96,log10(T4.600S),-7.912396026312192,-0.5002304642316026,-3.680754186403436,-3.724274132426336,1.3739683661986186,-0.023907711990658276,-1.0740319135212912
97,log10(T4.800S),-7.949620243738543,-0.4973134733791383,-3.71478358350836,-3.7694744451806126,1.381462316912131,-0.01852584900066655,-1.0778570159690015
98,log10(T5.000S),-7.985353475315968,-0.5079104225086207,-3.7468910761423113,-3.808241678629552,1.3889844461978629,-0.012588131696385788,-1.0816151363620716
99,log10(T5.500S),-8.068069443000798,-0.5543802308948959,-3.8204518147667113,-3.9040290776562854,1.406226438067141,0.00256311970949876,-1.092872345628152
100,log10(T6.000S),-8.143023529660912,-0.6200964925484973,-3.888867530540093,-3.985143579955494,1.4202329600528938,0.013770941303490158,-1.1058586228131626
101,log10(T6.500S),-8.21270250504873,-0.6054257533506741,-3.953819679690053,-4.071701465192655,1.4302521330048952,0.02256323627801797,-1.117293844074801
102,log10(T7.000S),-8.277761070200922,-0.6565126297616979,-4.015437335533378,-4.146648632367276,1.4379209628324432,0.02996505589075017,-1.1263606833181756
103,log10(T7.500S),-8.33808324764452,-0.7330630888408269,-4.07493367409512,-4.215953584191887,1.4441431171848393,0.035577902860772545,-1.1319069984100807
104,log10(T8.000S),-8.393919735418796,-0.8279811905754435,-4.132669388644534,-4.278106983785043,1.4483770621535301,0.03898806266652529,-1.1362100585184796
105,log10(T8.500S),-8.445959297282599,-0.9166048921103493,-4.18854654008265,-4.337194964961833,1.451198681755328,0.04198732994240238,-1.1387850997430002
106,log10(T9.000S),-8.494985759915894,-1.0068636905507005,-4.242235941346693,-4.389531479694095,1.4527998437706326,0.04465100868675878,-1.1412856712271942
107,log10(T9.500S),-8.541588798530283,-1.0966603654477594,-4.293466141125453,-4.446626779955933,1.453624315137704,0.046630011262854376,-1.1442919776385176
108,log10(T10.000S),-8.586130493490904,-1.160660244954285,-4.342318831639752,-4.495311704879772,1.453733545202891,0.047325363711125945,-1.146647593899794
109,log10(T11.000S),-8.669728308832495,-1.2941961355673723,-4.433499577203227,-4.586582874890631,1.4525556148664616,0.04652062863975985,-1.1528098715583521
110,log10(T12.000S),-8.746468156472995,-1.4039750104769186,-4.517011445329544,-4.66849172371361,1.4502334992791595,0.04357705898128828,-1.1587679208042425
111,log10(T13.000S),-8.816787116705749,-1.4937114923319592,-4.594346913227621,-4.742585441237813,1.4469977981509128,0.039852432733348896,-1.1631040440881688
112,log10(T14.000S),-8.881338537145503,-1.56722305923514,-4.666664466723482,-4.809780392288945,1.4432555654204908,0.036283512133832976,-1.1656198871329102
113,log10(T15.000S),-8.940891182086407,-1.6288027926777056,-4.7346092991354105,-4.874486204095885,1.4389945886232574,0.03242027859857093,-1.166214570116317
114,log10(T20.000S),-9.186705967391168,-1.878276054362633,-5.016231320764896,-5.136373834602931,1.420222254940264,0.018712439278708876,-1.155987507721743
